Note: modified from pivot table because a few bands existed under both P and 1+ categories. P is retained,,,,,,,,,,CURRENT VERSION: 12/07/2025,,,,,,,
Age,Band,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
P,162-87272,,,,,,,,,1,,,,,,,
P,162-87273,,,,,,,,,1,,,,,,,
P,162-87274,,,,,,,,,1,,,,,,,
P,162-87275,,,,,,,,,1,,,,,,,
P,162-87276,,,,,,,,,1,,,,,,,
P,162-87277,,,,,,,,,1,,,,,,,
P,162-87278,,,,,,,,,1,,,,,,,
P,162-87279,,,,,,,,,1,,,,,,,
P,162-87280,,,,,,,,,1,,,,,,,
P,162-87281,,,,,,,,,1,,,,,,,
P,162-87283,,,,,,,,,1,,,,,,,
P,162-87284,,,,,,,,,1,,,,,,,
P,162-87285,,,,,,,,,1,,,,,,,
P,162-87286,,,,,,,,,1,,,,,,,
P,162-87287,,,,,,,,,1,,,,,,,
P,162-87288,,,,,,,,,1,,,,,,,
P,162-87289,,,,,,,,,1,,,,,,,
P,162-87291,,,,,,,,,1,,,,,,,
P,162-87292,,,,,,,,,1,,,,,,,
P,162-87293,,,,,,,,,1,,,,,,,
P,162-87294,,,,,,,,,1,,,,,,,
P,162-87295,,,,,,,,,1,,,,,,,
P,162-87296,,,,,,,,,1,,,,,,,
P,162-87297,,,,,,,,,1,,,,,,,
P,162-87298,,,,,,,,,1,,,,,,,
P,162-87299,,,,,,,,,1,,,,,,,
P,162-87300,,,,,,,,,1,,,,,,,
P,162-87301,,,,,,,,,1,,,,,,,
P,162-87302,,,,,,,,,1,,,,,,,
P,162-87303,,,,,,,,,1,,,,,,,
P,162-87304,,,,,,,,,1,,,,,,,
P,162-87305,,,,,,,,,1,,,,,,,
P,162-87306,,,,,,,,,1,,,,,,,
P,162-87307,,,,,,,,,1,,,,,,,
1+,162-87308,,,,,,,,,,1,,,,,,
1+,162-87309,,,,,,,,,,1,,,,,,
1+,162-87310,,,,,,,,,,1,,,,,,
1+,162-87311,,,,,,,,,,1,,,,,,
1+,162-87312,,,,,,,,,,1,,2,,,,
1+,162-87313,,,,,,,,,,1,,1,,,1,
1+,162-87314,,,,,,,,,,1,,,,,,
1+,162-87315,,,,,,,,,,1,,,,,,
1+,162-87316,,,,,,,,,,1,,,,,,
1+,162-87317,,,,,,,,,,1,,,,,1,
1+,162-87318,,,,,,,,,,1,,,,,,
1+,162-87319,,,,,,,,,,1,,,,,,
1+,162-87320,,,,,,,,,,1,,,,,,
1+,162-87321,,,,,,,,,,1,,,,,,
1+,162-87322,,,,,,,,,,1,,,,,,
1+,162-87323,,,,,,,,,,1,,,,,,
P,162-87324,,,,,,,,,,1,,,,,,
1+,162-87325,,,,,,,,,,1,,,,,,
1+,162-87326,,,,,,,,,,1,,1,,,,
1+,162-87327,,,,,,,,,,1,,,,,,
1+,162-87328,,,,,,,,,,1,,,,,,
1+,162-87329,,,,,,,,,,1,,,,,,
1+,162-87330,,,,,,,,,,1,,,,,,
1+,162-87331,,,,,,,,,,1,,,,,,
P,162-87332,,,,,,,,,,1,,,,,,
